TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz: -54, FN:        1, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0  4  0 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      335, T3:29, off= 5, ncc:1, bscc:7, info: 2f  6 91 df a1 90 ed 7d 73 9e 3b 46 d7 83 78 a2 5e 90 c2 be 9a 8b e7 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      337, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0 65  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      341, T3:35, off= 5, ncc:1, bscc:7, info: 73 65 22 29 33 fd 19 ce ee 7f 5b 70 f6 76  f 4c 1e 7c  4 ec 8e ed 99 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      345, T3:39, off= 5, ncc:1, bscc:7, info: 73 28  2 48 8c ce a9 88 da e9 b6 50 bc 84 b3 58 e7 db 35 d8 41 8d eb 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      347, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 26  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      351, T3:45, off= 5, ncc:1, bscc:7, info: 20  0 6b 71 29 b1 1f a7 77 9b c5 9c d6 e6 85 58 46 b7 74 44 9f ae 16 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      355, T3:49, off= 9, ncc:1, bscc:7, info: 21  1 69  b 3b d0 b2 30 af c8 d0 68 9d 92 6c 3d 7e e2 4c e6 24 da de 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      358, T3: 1, off= 5, ncc:1, bscc:7, info: 3c  0 50  0 
TAG: state:CCCH_SCAN, itype: BCCH    dB:-33, Hz:  -1, FN:      362, T3: 5, off= 5, ncc:1, bscc:7, info: 31  6 1c  0 f1 10  0  1 d3  7  8  0  0 2b 2b 2b 2b 2b 2b 2b 2b 2b 2b 
TAG: state:FCCH_SCAN, itype: BCCHEXT dB:-33, Hz:  -1, FN:      366, T3: 9, off= 5, ncc:1, bscc:7, info: b0 34 83 1c 52 36 53 17 16 fc c2 6a e5 ae 29 ce ba 32 7d ca dc cb 87 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      368, T3:11, off= 5, ncc:1, bscc:7, info: 3c  0 10  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      372, T3:15, off= 5, ncc:1, bscc:7, info: f9 6d 10 e2 c0 5b dd 45 11 29 e6 5c 4c 13 ee f1 78 5f b7 e5 db b9 69 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      376, T3:19, off= 5, ncc:1, bscc:7, info: b8 36 51 a3 6c e8 9d 43 3c dd ff b8 a4 35 48 24 19 4e 2c 89 14 ad 4a 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      378, T3:21, off= 5, ncc:1, bscc:7, info: 3c  0 39  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      382, T3:25, off= 5, ncc:1, bscc:7, info: c1 ae 2b 54 ee  1 5b b0 a8 9c ee aa 81 20 2f 4b d2 62 a0 c3 40 c6 28 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      386, T3:29, off= 5, ncc:1, bscc:7, info: c2 9b 68 35 c3 b6 99 86 35 6a 76 ae 27  8 84 9d a0 65 32 e9 8b 60 42 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      388, T3:31, off= 5, ncc:1, bscc:7, info: 3c  0 61  1 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      392, T3:35, off= 5, ncc:1, bscc:7, info: 9d 80 ea d2 5b df 57 b4 a0 2f 47 a0 c0 6e 67 31 7f 5b b1 83 d7 84 a4 
TAG: state:FCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      396, T3:39, off= 5, ncc:1, bscc:7, info: de a9 f1 b3 ef 64 ff f2 bc 99 5f e8 4a 23 cd 63 8b 58  5 af 10 76 c4 
TAG: state:CCCH_SCAN, itype: SCH     dB:-33, Hz:  -1, FN:      398, T3:41, off= 5, ncc:1, bscc:7, info: 3c  0 22  0 
TAG: state:CCCH_SCAN, itype: CCCH    dB:-33, Hz:  -1, FN:      402, T3:45, off= 5, ncc:1, bscc:7, info: 22  2 97 a0 d7 4e 75 81 11 61 eb cc 7a 76 a3 d5 ae 85 46 37 ee e1 5f 
